,topic,last_sentence,checked_sentence,eval_label,generated_sentence
0,Elvis Presley,Elvis Presley,"Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".",Oh baby.... Elvis Presley is truly The King of Rock and Roll!,"Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer and actor."
1,Ireland,"Ireland
What do you know about ireland?",Ireland (; ; Ulster-Scots: ) is an island in the North Atlantic.,Are you referring to the island in the North Atlantic? It has a population of 6.6 million people. Why do you ask?,Ireland is a sovereign state in north-western Europe occupying 26 of 32 counties of the island of Ireland.
2,Archery,"Archery
I recently took up archery and I think I love it. Do you know anything about Archery?","Archery is the sport, practice or skill of using a bow to propel arrows.",Archery is a sport/skill of using a bow to propel arrows.,"Archery is the art, sport, practice or skill of using a bow to shoot arrows. It's a great sport."
3,Chihuahua (dog),"Chihuahua (dog)
I love chihuahuas, I have 2 of them.",The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico.,Wow chihuahua are something else. Tiny and the smallest breed of dog.,The Chihuahua is the smallest breed of dog and is named after the state of Chihuahuaz in Mexico.
4,Motivation,Motivation,"Motivation is the reason for people's actions, desires, and needs.","What is your motivation for your actions related to education, work, etc.?","Motivation is derived from the word ""motive"" which is defined as a need that requires satisfaction."
5,Hunting,Hunting,"Hunting is the practice of killing or trapping animals, or pursuing or tracking them with the intent of doing so.",I enjoy going out in the woods to hunt animals.,Do you like hunting? I love to hunt animals or birds.  I love the hunt for the meat and fur.
6,The Walking Dead (TV series),The Walking Dead (TV series),"The Walking Dead is an American post-apocalyptic horror television series developed by Frank Darabont for AMC that is based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard.",The Walking Dead is a kewl post apocalyptic horror tv show.,"The Walking Dead is an American post-apocalyptic horror television series developed by Frank Darabont for AMC that is based on the comic book series by Robert Kirkman, Tony Moore, and Charlie Adlard."
7,Harry Potter,Harry Potter,Harry Potter is a series of fantasy novels written by British author J. K. Rowling.,"Harry Potter is a series of fantasy novels, do you know of them?",Have you read the Harry Potter series of fantasy novels written by J.K. Rowling? I love them.
8,no_passages_used,yes...who doesn't love Elvis Presley and his music?,no_passages_used,Seriously. I have been planning a vaction to Graceland myself. I have family in Tennessee so it could be good.,Elvis Presley is truly one of the most celebrated and influential musicians of the 20th century.
9,Ireland,"Exactly, do you know any thing about Island north Atlantic?","The island's geography comprises relatively low-lying mountains surrounding a central plain, with several navigable rivers extending inland.",There are lots of low-lying mountains in Ireland. Do you fancy a hike?,"I know that it is separated from Great Britain to its east by the North Channel, the Irish Sea, and the St George's Channel."
10,History of archery,And a great sport it is. Do you know where archery originated from?,"The bow and arrow are known to have been invented by the end of the Upper Paleolithic, and for at least 10,000 years archery was an important military and hunting skill, and features prominently in the mythologies of many cultures.","It's a very old one, practiced for at least 10,000 years used for military or hunting in many cultures.","The word comes from the Latin word ""arcus"" which means ""arrow"". Historically, archery has been used for hunting and combat."
11,Chihuahua (dog),"Yep, they get a bad rap about their demeanor too. Most people say they're mean but one of mine is the sweetest ever.",Both folklore and archaeological finds show that the breed originated in Mexico.,"Yeah their history is shrouded in mystery, but the breed originated in Mexico.","They come in a wide variety of colors, and two coat lengths. They are named after the state of Chihuahua in Mexico."
12,Motivation,That's a tough question. I'd say my own progress. I like seeing how much I improve with something. You?,"According to Maehr and Meyer, ""Motivation is a word that is part of the popular culture as few other psychological concepts are.""","I am retired now.  Are you familiar with the work of Mehr and Meyer, well known psychologists?","Motivation is derived from the word ""motive"" which is defined as a need that requires satisfaction."
