,topic,last_sentence,checked_sentence,eval_label,generated_sentence
0,Elvis Presley,Elvis Presley,"Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".",Oh baby.... Elvis Presley is truly The King of Rock and Roll!,"Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer and actor."
1,Ireland,"Ireland
What do you know about ireland?",Ireland (; ; Ulster-Scots: ) is an island in the North Atlantic.,Are you referring to the island in the North Atlantic? It has a population of 6.6 million people. Why do you ask?,"Ireland is an island in the middle of Europe, it is located in the north west of Europe."
2,Archery,"Archery
I recently took up archery and I think I love it. Do you know anything about Archery?","Archery is the sport, practice or skill of using a bow to propel arrows.",Archery is a sport/skill of using a bow to propel arrows.,"Archery is the art, sport, practice or skill of using a bow to shoot arrows. "
3,Chihuahua (dog),"Chihuahua (dog)
I love chihuahuas, I have 2 of them.",The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico.,Wow chihuahua are something else. Tiny and the smallest breed of dog.,I love chihuahuas too! They are the smallest breed of dog and are so cute!
4,Motivation,Motivation,"Motivation is the reason for people's actions, desires, and needs.","What is your motivation for your actions related to education, work, etc.?","Motivation is the reason for people's actions, willingness and goals.  Do you have any?"
5,Hunting,Hunting,"Hunting is the practice of killing or trapping animals, or pursuing or tracking them with the intent of doing so.",I enjoy going out in the woods to hunt animals.,I love to go hunting. It's a great way to catch elusive game.  Do you like to hunt?
6,The Walking Dead (TV series),The Walking Dead (TV series),"The Walking Dead is an American post-apocalyptic horror television series developed by Frank Darabont for AMC that is based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard.",The Walking Dead is a kewl post apocalyptic horror tv show.,The Walking Dead is an American post-apocalyptic horror television series developed by Frank Darabont for AMC.
7,Harry Potter,Harry Potter,Harry Potter is a series of fantasy novels written by British author J. K. Rowling.,"Harry Potter is a series of fantasy novels, do you know of them?",Harry Potter is my favorite book series. It's about a boy who discovers he is a wizard.
8,no_passages_used,yes...who doesn't love Elvis Presley and his music?,no_passages_used,Seriously. I have been planning a vaction to Graceland myself. I have family in Tennessee so it could be good.,"Yes, he is one of the most significant cultural icons of the 20th century. He is often referred to as simply ""the king""."
9,Ireland,"Exactly, do you know any thing about Island north Atlantic?","The island's geography comprises relatively low-lying mountains surrounding a central plain, with several navigable rivers extending inland.",There are lots of low-lying mountains in Ireland. Do you fancy a hike?,I know that it is separated from Great Britain to the east by the North Sea and the Irish Sea.
10,History of archery,And a great sport it is. Do you know where archery originated from?,"The bow and arrow are known to have been invented by the end of the Upper Paleolithic, and for at least 10,000 years archery was an important military and hunting skill, and features prominently in the mythologies of many cultures.","It's a very old one, practiced for at least 10,000 years used for military or hunting in many cultures.","Archery has been around for at least 10,000 years and was an important military and hunting skill."
11,Chihuahua (dog),"Yep, they get a bad rap about their demeanor too. Most people say they're mean but one of mine is the sweetest ever.",Both folklore and archaeological finds show that the breed originated in Mexico.,"Yeah their history is shrouded in mystery, but the breed originated in Mexico.",I have a chihuahua and he is the sweetest ever. They are also the smallest breed of dog.
12,Motivation,That's a tough question. I'd say my own progress. I like seeing how much I improve with something. You?,"According to Maehr and Meyer, ""Motivation is a word that is part of the popular culture as few other psychological concepts are.""","I am retired now.  Are you familiar with the work of Mehr and Meyer, well known psychologists?","That's a good question. Motivation is derived from the word ""motive"" which is defined as a need that requires satisfaction."
13,Hunting,Hi. What sort of animals?,Hunting can also be a means of pest control.,"The animals I would hunt are elk, mule deer, pheasants and Canadian geese. We would also hunt gophers because they would over populate and become pests.","I like to hunt deer, elk, bear, and feral hogs. Do you hunt?"
14,The Walking Dead (TV series),I have never watched it.  Who is in the show?,"Andrew Lincoln plays the show's lead character, sheriff's deputy Rick Grimes, who awakens from a coma discovering a world overrun by zombies, commonly referred to as ""walkers"".",The lead character is named Andrew Lincoln. The Sheriff's deputy is Rick Grimes. ,"Andrew Lincoln plays the lead character, sheriff's deputy Rick Grimes, who awakens from a coma to discover a world overrun by man-eating zombies."
15,Harry Potter,"I do know them, but I have only seen the movies, I never read the books",Harry Potter is a series of fantasy novels written by British author J. K. Rowling.,Ah well if you have only seen the movie you may not know that J.K Rowling wrote the books.,"It is a series of fantasy novels written by J.K. Rowling, I have read a few of them."
16,Elvis Presley,I would love to tour his home.  Which one of his songs is your favorite?/,"Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old.","I always liked ""Hounddog."" My grandpa heard Elvis sing it live in Memphis.","One of my favorites is ""Livin' on a Prayer"". It's a great ballad."
17,Ireland,"Wow, that will make island north Atlantic.","The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",It also has lush vegetation and is very clean and green.,It is separated from Great Britain by the Irish Sea. Do you want to go to the Irish sea?
18,History of archery,"Wow, thats amazing. Its been around for a long time. Do you know which culture invented it?","Based on indirect evidence, the bow seems to have been invented near the transition from the Upper Paleolithic to the Mesolithic, some 10,000 years ago.","It came from the ""beginning"" of humanity rpetty much, like Upper Paleolithic to Mesolithic times, there wasn't cultures yet, I believe.","I'm not sure, but archery was a major part of most militaries until the 1500s."
