,topic,last_sentence,checked_sentence,eval_label,generated_sentence
0,Elvis Presley,Elvis Presley,"Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".",Oh baby.... Elvis Presley is truly The King of Rock and Roll!,i love listening to elvis presley ' s music . he ' s a great singer .
1,Ireland,"Ireland
What do you know about ireland?",Ireland (; ; Ulster-Scots: ) is an island in the North Atlantic.,Are you referring to the island in the North Atlantic? It has a population of 6.6 million people. Why do you ask?,i know a few different species of ireland . there are two species of ireland .
2,Archery,"Archery
I recently took up archery and I think I love it. Do you know anything about Archery?","Archery is the sport, practice or skill of using a bow to propel arrows.",Archery is a sport/skill of using a bow to propel arrows.,i do not know much about it . i know it is used for sport sport sport .
3,Chihuahua (dog),"Chihuahua (dog)
I love chihuahuas, I have 2 of them.",The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico.,Wow chihuahua are something else. Tiny and the smallest breed of dog.,i have a chihuahua named named after the frenchie .
4,Motivation,Motivation,"Motivation is the reason for people's actions, desires, and needs.","What is your motivation for your actions related to education, work, etc.?",i am a lawyer . i feel like i need to understand the actions of their actions and actions
5,Hunting,Hunting,"Hunting is the practice of killing or trapping animals, or pursuing or tracking them with the intent of doing so.",I enjoy going out in the woods to hunt animals.,i love to hunt animals . they are so dangerous to humans .
6,The Walking Dead (TV series),The Walking Dead (TV series),"The Walking Dead is an American post-apocalyptic horror television series developed by Frank Darabont for AMC that is based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard.",The Walking Dead is a kewl post apocalyptic horror tv show.,"i love the show "" the tv series "" the tv series "" the tv show "" ."
7,Harry Potter,Harry Potter,Harry Potter is a series of fantasy novels written by British author J. K. Rowling.,"Harry Potter is a series of fantasy novels, do you know of them?","hi , i love harry potter . i read harry potter books ."
8,Thierry Henry,"Thierry Henry
Thierry Henry is one of my all time favorite players. What about you?",Thierry Daniel Henry (; born 17 August 1977) is a retired French professional footballer who played as a forward and is the second assistant manager of the Belgium national team.,He was good.  he is a retired French professional footballer,"i have not , but i know he is a german professor . he was a german professor who was a german player ."
9,no_passages_used,Hunting,no_passages_used,"Ive been hunting now for about 8 years, its really fun and I do it for the sport, Have you ever been hunting before? ",i love to hunt animals . they are so dangerous to humans .
10,Broken heart,"Broken heart
Have you ever had a broken heart?\",Broken heart (also known as a heartbreak or heartache) is a term metaphor for the intense emotional—and sometimes physical—stress or pain one feels at experiencing great longing.,"Yes, I have suffered from a broken heart which is a metaphor for major emotional and physical pain that someone feels from the longing of a loved one. How about you?","no , i have not , but i have heard it is a symptom of heart disease , which is a risk of heart disease"
11,List of national parks of the United States,"List of national parks of the United States
I love national parks dont you?","A bill creating the first national park, Yellowstone, was signed into law by President Ulysses S. Grant in 1872, followed by Mackinac National Park in 1875 (decommissioned in 1895), and then Rock Creek Park (later merged into National Capital Parks), Sequoia and Yosemite in 1890.","I do! The first national park was Yellowstone, signed into law by President Ulysses Grant in 1972.",i do ! it ' s the oldest city in the united states .
12,Discovery Channel,Discovery Channel,"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",The discover channel used to be a great channel on television but it went down the drain,i love the discovery discovery channel discovery channel discovery discovery channel .
13,American football,"American football
I rather enjoy American football particularly college football. Do you watch/ have a favorite team?","American football, referred to as football in the United States and Canada, and also known as gridiron football or simply gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end.","I do, the Dallas Cowboys. Bad of late but they will do great one day.","i love football , it is a sport where people call it soccer ."
14,Guns N' Roses,"Guns N' Roses
Have you heard of the band Guns N' Roses? They are my favorite band ever","Guns N' Roses, often abbreviated as GNR, is an American hard rock band from Los Angeles, California, formed in 1985.","Sure the band was formed inn 1985 in  Los Angeles, California.  What is tour favorite album?","i love roses , they were my favorite band . i love the song of the rolling stones ."
15,Nickelback,"Nickelback
I went to a nickelback concert this past summer","The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",Oh that's very cool I've never been to a Nickelback concert but I really do like Nickelback are you aware of who the members of the band are,i love that movie ! they have a top top top top top top charts in the us .
16,Elvis Presley,Elvis Presley,"Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".","Hello, I love to listen to Elvis , do you? he is the King of Rock N Roll",i love listening to elvis presley ' s music . he ' s a great singer .
17,Bowling,"Bowling
Bowling is real popular in my area, I live around a lot of old people.",Bowling is a sport or leisure activity in which a player rolls or throws a bowling ball towards a target.,"Oh that's funny, yeah it's a a fun leisure activity, do old people usually go bowling?","i love the sport of sports sports , sports , and sports ."
18,American football,"American football
I don't really know the rules of American Football","The offense, which is the team controlling the oval-shaped football, attempts to advance down the field by running with or passing the ball, while the defense, which is the team without control of the ball, aims to stop the offense's advance and aims to take control of the ball for themselves.","Oh really? It is kind of simple, you just need to watch it. First the ball starts with the offense, their goal is to get it into the endzone.",it is a sport that originated in england .
19,Skiing,Skiing,Skiing has a history of almost five millennia.,"Skiing is a pretty fun sport, but interestingly enough, it's also got a history of nearly 5 millennia. Five!",i love to surf . it ' s a long time ago ! it ' s been described as a man ' s greatest sport !
20,Harry Potter,"Harry Potter
I really like the Harry Potter franchise","The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",Harry Potter chronicles the life of Harry Potter and his friends.,"i love harry potter , the harry potter series is a british epic fantasy series ."
21,Skiing,Skiing,"Skiing can be a means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow.","My favorite past time is skiing. means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow.",i love to go skiing . it ' s a sport sport sport sport sport sport sport sport .
22,"On-again, off-again relationship","On-again, off-again relationship
Im so sad, i broke up again with my grilfriend, well ex girlfriend, she doesnt understand me, its so tiring being on again off again kind of relationship! have you ever been in a situation like this?","they live in different places), or for emotional reasons (e.g., they cannot relate to each other outside of a sexual relationship, perhaps sharing little in common).","Yes I have in the past. It was for emotional reasons, but I know people in the situation because of physical geography","i have not , but i have heard that it can be done by relationships and relationships ."
23,The Walking Dead (TV series),The Walking Dead (TV series),"The Walking Dead is an American post-apocalyptic horror television series developed by Frank Darabont for AMC that is based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard.","Have you seen the TV series "" The Walking Dead"" an American post-apocalyptic thriller.","i love the show "" the tv series "" the tv series "" the tv show "" ."
24,Dylan's Candy Bar,"Dylan's Candy Bar
I like Dylans bars do you?","Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in New York City; East Hampton, New York; Los Angeles, Chicago and Miami Beach, as well as in wholesale venues around the globe.",Yes Dylans Candy Bar is my favorite boutique candy store,i do not . i have a lot of time to go to the bar house .
25,American football,"American football
I love American football dont you?","American football, referred to as football in the United States and Canada, and also known as gridiron football or simply gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end.",I do too! It's a great team sport played on a rectangular field between two goalposts.,"i love football , it is a sport where people call it soccer ."
26,Ireland,Ireland,Ireland (; ; Ulster-Scots: ) is an island in the North Atlantic.,Ever been to Ireland in the North Atlantic? Heard it is lovely.,"i love ireland , there are over six different species of ireland ."
27,Guns N' Roses,"Guns N' Roses
I just recently started listening to Guns N' Roses.","Guns N' Roses, often abbreviated as GNR, is an American hard rock band from Los Angeles, California, formed in 1985.",Oh they are classic!! They are an American band from LA that formed in 1985.,"i love roses , they were my favorite singer , songwriter , and songwriter ."
28,Game design,Game design,Applying game design to itself is a current research topic in metadesign.,i design video games.  applying game design itself is a metadesign ,i love playing video games . it ' s a game that involves skill and skill of game .
29,Popcorn,"Popcorn
Sometimes the taste of popcorn puts me off. Do you like popcorns?","Popcorn, or pop corn, is a variety of corn kernel, which forcefully expands and puffs up when heated.",I like popcorn. It is based on corn and kernels.,i love corn cream ! i love the corn flavor of corn tortillas .
30,Cod,Cod,"Cod is the common name for the genus ""Gadus"" of demersal fishes, belonging to the family Gadidae.",Do you know much about Cod?  I read that it belongs to the family Gadidae,"i love eating meat , it ' s a tasty meat ."
31,Discovery Channel,Discovery Channel,"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",I edit videos for the Discovery Channel!,i love the discovery discovery channel discovery channel discovery discovery channel .
32,Guns N' Roses,Guns N' Roses,"Guns N' Roses, often abbreviated as GNR, is an American hard rock band from Los Angeles, California, formed in 1985.","Do you like rock music? I love to jam out to classics from the 80s, like Guns N' Roses!","i love roses , they ' re my favorite album ."
33,Bowling,"Bowling
I used to bowl all of the time when I was younger",Bowling is a sport or leisure activity in which a player rolls or throws a bowling ball towards a target.,"I still do, sometimes as a sport or leisure activity.","i love the mix of the mix of knitting , which is a mix of wood and rubber ."
34,Harry Potter,"Harry Potter
I just ordered all the Harry Potter books and look forward to reading them",Harry Potter is a series of fantasy novels written by British author J. K. Rowling.,"I have never read any books by the British author J.K. Rowling, it does sound like an interesting series though",i love them too ! they have sold over 100 million copies !
35,Archery,Archery,"Archery is the sport, practice or skill of using a bow to propel arrows.",Archery is so cool to watch! It is the use of a bow to propel arrows.,i love to watch sports . it ' s a sport sport that is used in competitive sports .
36,Skiing,Skiing,"Skiing can be a means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow.",I could never get the hang of skiing. I don't think my balance is good enough.,i love to go skiing . it ' s a sport sport sport sport sport sport sport sport .
37,Game design,"Game design
how long have you been designing games?","Game design creates goals, rules and challenges to define a board game, card game, dice game, casino game, role-playing game, sport, video game, war game or simulation that produces desirable interactions among its participants and, possibly, spectators.","I personally haven't designed any games but have taken classes about games, I like it because there are rules and roles that everyone has to adhere to and it gives you any kind of element you want to work with. ",i have never been . i have a lot of friends who play games . i have a friend who played the game game game game game game game game game game game .
38,Elvis Presley,"Elvis Presley
Elvis Presley is one of my favorite artists of all time","Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".","I loved Elvis!  It was so sad when he died! He really WAS the ""King of Rock and Roll""!",i love her music . she is a singer and actress .
39,Green,"Green
My favorite color is green, to me it is peaceful.  How about you?",Green is the color between blue and yellow on the visible spectrum.,"I like green, I think it is cool that it is a mix of blue and yellow, and comes between them in the visible spectrum as well","i love green , green and green on the spectrum of visible light ."
40,Green,"Green
My favorite color is green. I really love the different variations of it. How about you?",Green is the color between blue and yellow on the visible spectrum.,"I like green, it reminds me of trees since it is the color between blue and yellow!","i love green , green and orange on the spectrum of visible light ."
41,Medical billing,"Medical billing
I was bilked so much medically last time","The process involves a healthcare provider submitting, and following up on, claims with health insurance companies in order to receive payment for services rendered; such as treatments and investigations.","oh god, do you have health insurance. ",that ' s awesome ! did you have any experience with surgery ?
42,Nickelback,"Nickelback
im a big nickelback fan. whats your opinion on the band?","Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles.",I actually love Nickelback! They sold over 50 million albums in early 2000s I think!,"i love the song "" billboard "" , topped the billboard charts in the us ."
43,Harry Potter,"Harry Potter
Everyone has seen Harry Potter except me. Have you ever read the books or watched the movies?","The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",Yes I am a big fan of it actually. I love reading about chronicles of the life of a young wizard,"i have not , but i know that it has sold over 80 million copies of all of them ."
44,Bowling,Bowling,Bowling is a sport or leisure activity in which a player rolls or throws a bowling ball towards a target.,Bowling is a sport or leisure activity in which a player rolls or throws a bowling ball towards a target .,"i love to use a wooden hole , which is a mix of wood and rubber ."
45,Motivation,"Motivation
I have trouble getting motivated. What about you?","Motivation is the reason for people's actions, desires, and needs.",Yea same motivation is very hard if you dont desire it or need it,i have a problem with my behavior . i have a problem with my behavior .
46,Cheerleading,Cheerleading,It can range from chanting slogans to intense physical activity.,"Having been a cheerleader, I will *absolutely* argue that it should be classified as an intense athletic physical activity!","i love to watch the stars . i like to watch the variety of talents , jumping , and throwing ."
47,Instagram,"Instagram
Have you ever used Instagram? I've looked at it but have never done anything with it.","Instagram is a mobile, desktop, and Internet-based photo-sharing application and service that allows users to share pictures and videos either publicly, or privately to pre-approved followers.",Yes its great its a internet based photo sharing app lots of fun,i have never been . it is maintained by facebook and instagram .
48,Nickelback,Nickelback,"Nickelback is a Canadian rock band formed in 1995 in Hanna, Alberta, Canada.",I am going to see the Canadian rock band Nickelback soon!,i love the grateful dead . they have a top top top top charts in the us .
49,Japanese language,Japanese language,"Little is known of the language's prehistory, or when it first appeared in Japan.","I want to learn to speak japanese, little is known of the languages history tho","i love japanese cuisine , it is a japanese japanese japanese japanese japanese japanese japanese region"
50,Green,"Green
Colors are a lot of fun. My favorite to use in art is green.",Green is the color between blue and yellow on the visible spectrum.,I also like green.  It is right between yellow and blue on the color wheel,green is my favorite color . it lies between green and orange on the spectrum of visible light .
51,Harry Potter,Harry Potter,Harry Potter is a series of fantasy novels written by British author J. K. Rowling.,Harry Potter is a really solid set of novels.,"hi , i love harry potter . i read harry potter books ."
52,Hunting,Hunting,"Hunting wildlife or feral animals is most commonly done by humans for food, recreation, to remove predators that are dangerous to humans or domestic animals, or for trade.",I think deer hunting is interesting. I myself hunt for food.,i love to hunt animals . they are so dangerous to humans .
53,Green,"Green
When I see green, I can't help but think of nature.",It is evoked by light which has a dominant wavelength of roughly 495570 nm.,"Me too, I study colors for a living and green is a personal favorite, In fact green has a very dominant wavelength of roughly 495570 nm which is high on the color spectrum.",yellow is a primary color used in painting and color printing
54,Cardigan (sweater),"Cardigan (sweater)
Cardigans make me look dapper.","The garment is mostly associated with the college culture of the Roaring Twenties and early 1930s, being also popular throughout the 1950s, the 1970s and the 1990s.",I agree. They're associated with the Roaring Twenties which had many classy dressing styles.,i have a friend who was a person who was a person who was a person who was a person who had to strike the text and flcloses the 1920s
55,Paramedic,"Paramedic
my friend wanted to be a paramedic","A paramedic is a healthcare professional, predominantly in the pre-hospital and out-of-hospital environment, and working mainly as part of emergency medical services (EMS), such as on an ambulance.",I wouldn't want to be EMS on 911 calls.  The scenes would haunt you for life.,it is a united states that uses medical health techniques to diagnose and treat diseases .
56,Green,Green,Green is the color between blue and yellow on the visible spectrum.,My favorite color is green. whats yours?,yellow is my favorite color . it is between green and orange on the spectrum of visible light .
