,topic,last_sentence,checked_sentence,eval_label,generated_sentence
0,Blue,Blue,"Blue is one of the three primary colours of pigments in painting and traditional colour theory, as well as in the RGB colour model.",Blue is my favorite primary color.,"Blue is one of the three primary colors of pigments in painting and traditional colour theory, as well as in the RGB colour model."
1,Cinematography,"Cinematography
Hi buddy, What you think about cinematography","Cinematography (also called ""Direction of Photography"") is the science or art of motion-picture photography by recording light or other electromagnetic radiation, either electronically by means of an image sensor, or chemically by means of a light-sensitive material such as film stock.","Cinematography,is a type of motion picture , captured electronically by means of an image ",I love cinematography!  It's the art of using cameras to create images that look like they are being filmed.
2,Genius,Genius,"A genius is a person who displays exceptional intellectual ability, creative productivity, universality in genres or originality, typically to a degree that is associated with the achievement of new advances in a domain of knowledge.",a genius is a person who displays exceptional intellectual ability.,Have you ever heard of a genie? It's a fictional character created by Fritz Leiber.
3,Husky,"Husky
I just got a husky puppy","Husky is a general name for a sled-type of dog used in northern regions, differentiated from other sled-dog types by their fast pulling style.",It sounds cute! Huskies are known amongst sled-dogs for their fast pulling style.,"I love huskies! They are so cute! I have a husky mix myself, he is a mix of husky and poodle."
4,Forgetting,Forgetting,Forgetting or disremembering is the apparent loss or modification of information already encoded and stored in an individual's long-term memory.,Forgetting is the process of losing information already stored in the memory,Forgetting is one of the hardest things to do in life.  It's like not being able to remember anything.
5,Budweiser,"Budweiser
I think Budweiser taste terrible. Have you ever had it?","Produced in various breweries around the world, Budweiser is a filtered beer available in draft and packaged forms.","Yes, and I love it!  It's a filtered beer, and it comes in either draft or packaged forms","Yes, I have.  It is an American-style pale lager produced by Anheuser-Busch, currently part of the transnational corporation "
6,Coors Brewing Company,"Coors Brewing Company
Who founded Coors Brewing Company?","In 1873, German immigrants Adolph Coors and Jacob Schueler from Prussia emigrated to the United States and established a brewery in Golden, Colorado, after buying a recipe for a Pilsner-style beer from a Czech immigrant William Silhan.",In 1873 Adolph Coors and Jacob Schueler founded the brewery,German immigrants Adolph Coors and Jacob Schueler from Prussia emigrated to the United States and established a brewery in 1873
7,Italian cuisine,"Italian cuisine
I love Italian cuisine","It has developed through centuries of social and economic changes, with roots stretching to antiquity.",Oh yes!  It is the best.  It's really changed over the years but it still has good roots.,"Italian cuisine is generally characterized by its simplicity, with many dishes having only two to four main ingredients."
8,Royal Blue (train),Blue is always nice. I like royal blue.,"The Royal Blue was the Baltimore and Ohio Railroad (B&O)'s flagship passenger train between New York City and Washington, D.C., in the United States, beginning in 1890.",I once road on The Royal Blue train from New York to D.C,Blue is between violet and green on the spectrum of visible light. It lies between green and violet.
9,Cinematography,"Yes buddy,  Images captured with an electronic image-sensor, produces an electrical charge.The word ""cinematography"" is based on the Greek words  meaning movement, motion.","Typically, a lens is used to repeatedly focus the light reflected from objects into real images on the light-sensitive surface inside a camera during a questioned exposure, creating multiple images.",It works by lens used to repeatedly focus the light reflected from objects into real images on the light-sensitive surface .,"The word ""cinematography"" was coined in 1839 by Sir John Herschel and is based on the Greek φῶς (""""), meaning ""light"" and γραφή (""graphê""), meaning motion"
10,Genius,What is an IQ of a genius?,"A genius is a person who displays exceptional intellectual ability, creative productivity, universality in genres or originality, typically to a degree that is associated with the achievement of new advances in a domain of knowledge.",universality in genres or originality typically to a degree that is associated with  achievements,a genius is a person who displays exceptional intellectual ability. an IQ is a measure of a person's intelligence.
11,Sled dog,I guess in the north they are working dogs huh?,"Sled dogs were important for transportation in arctic areas, hauling supplies in areas that were inaccessible by other methods.","Sled dogs, including Huskies, are used for transportation in arctic areas.","Yes! They are an ever-changing cross-breed of the fastest dogs. The Alaskan Malamute, by contrast, was used for pulling heavier loads."
12,Forgetting,Yea Forgetting and memory loss is one of lifes most painful things,It is a spontaneous or gradual process in which old memories are unable to be recalled from memory storage.,Its a gradual process where one is unable to call up the older memories,It is a spontaneous or gradual process in which old memories are unable to be recalled from memory storage.
13,Budweiser,"Yeah? From my understanding they are called ""Bud"" over in Europe because they have been in a trademark dispute with another beer company. ","In the European Union, excluding the United Kingdom, Republic of Ireland, Sweden, Finland and Spain, the American beer is marketed as ""Bud"", as the Budweiser trademark name is owned solely by the Czech beer maker, Budweiser Budvar.","Yes, that's true because the trademark name of Budweiser is own by the Czech beer maker, Budweiser Budvar","Yes, Budweiser is an American-style pale lager produced by Anheuser-Busch"
14,Coors Light,"Nice, what drinks do they produce?",It was first produced in 1978 by the Coors Brewing Company.,"I would say one of there most popular items is ""Coors Light"" which was first produced in 1978, so after 105 years of being founded. But they sell all kinds of beer.","The Coors Brewing Company is a regional division of the world's third-largest brewing company, Molson Coors"
