,topic,last_sentence,checked_sentence,eval_label,generated_sentence
0,Blue,Blue,"Blue is one of the three primary colours of pigments in painting and traditional colour theory, as well as in the RGB colour model.",Blue is my favorite primary color.,"Blue is one of the three primary colours of pigments in painting and traditional colour theory, as well as in the RGB colour model."
1,Cinematography,"Cinematography
Hi buddy, What you think about cinematography","Cinematography (also called ""Direction of Photography"") is the science or art of motion-picture photography by recording light or other electromagnetic radiation, either electronically by means of an image sensor, or chemically by means of a light-sensitive material such as film stock.","Cinematography,is a type of motion picture , captured electronically by means of an image ",I love cinematography! It has uses in many fields of science and business as well as for entertainment purposes and mass communication.
2,Genius,Genius,"A genius is a person who displays exceptional intellectual ability, creative productivity, universality in genres or originality, typically to a degree that is associated with the achievement of new advances in a domain of knowledge.",a genius is a person who displays exceptional intellectual ability.,"I am a genius. I am creative and I use science, mathematical methods, and empirical evidence to the innovation, design, construction, operation and maintenance of structures, machines, materials, devices, systems, processes, and organizations for the benefit of humankind."
3,Husky,"Husky
I just got a husky puppy","Husky is a general name for a sled-type of dog used in northern regions, differentiated from other sled-dog types by their fast pulling style.",It sounds cute! Huskies are known amongst sled-dogs for their fast pulling style.,I love huskies! They are my favorite breed of dog. They were bred to be sled dogs.
4,Forgetting,Forgetting,Forgetting or disremembering is the apparent loss or modification of information already encoded and stored in an individual's long-term memory.,Forgetting is the process of losing information already stored in the memory,Forgetting is a bad habit to have.  Do you have a habit of forgetting things? 
5,Budweiser,"Budweiser
I think Budweiser taste terrible. Have you ever had it?","Produced in various breweries around the world, Budweiser is a filtered beer available in draft and packaged forms.","Yes, and I love it!  It's a filtered beer, and it comes in either draft or packaged forms","Yes, it is an American-style pale lager produced by Anheuser-Busch, currently part of the transnational corporation"
6,Coors Brewing Company,"Coors Brewing Company
Who founded Coors Brewing Company?","In 1873, German immigrants Adolph Coors and Jacob Schueler from Prussia emigrated to the United States and established a brewery in Golden, Colorado, after buying a recipe for a Pilsner-style beer from a Czech immigrant William Silhan.",In 1873 Adolph Coors and Jacob Schueler founded the brewery,"German immigrants Adolph Coors and Jacob Schueler from Prussia emigrated to the United States and established a brewery in Golden, Colorado, after buying a recipe for a Pilsner-style beer from a Czech immigrant William Silhan."
7,Italian cuisine,"Italian cuisine
I love Italian cuisine","It has developed through centuries of social and economic changes, with roots stretching to antiquity.",Oh yes!  It is the best.  It's really changed over the years but it still has good roots.,"Italian food started to form after the fall of the Roman Empire, when different cities began to separate and form their own traditions."
8,Royal Blue (train),Blue is always nice. I like royal blue.,"The Royal Blue was the Baltimore and Ohio Railroad (B&O)'s flagship passenger train between New York City and Washington, D.C., in the United States, beginning in 1890.",I once road on The Royal Blue train from New York to D.C,I like azure and ultramarine. They have a slight mixture of green and violet in them.
9,Cinematography,"Yes buddy,  Images captured with an electronic image-sensor, produces an electrical charge.The word ""cinematography"" is based on the Greek words  meaning movement, motion.","Typically, a lens is used to repeatedly focus the light reflected from objects into real images on the light-sensitive surface inside a camera during a questioned exposure, creating multiple images.",It works by lens used to repeatedly focus the light reflected from objects into real images on the light-sensitive surface .,"The word ""cinematography"" is based on the Greek words  meaning movement, motion. "
10,Genius,What is an IQ of a genius?,"A genius is a person who displays exceptional intellectual ability, creative productivity, universality in genres or originality, typically to a degree that is associated with the achievement of new advances in a domain of knowledge.",universality in genres or originality typically to a degree that is associated with  achievements,a genius is a person who displays exceptional intellectual ability. a genius has a very high IQ. 
11,Sled dog,I guess in the north they are working dogs huh?,"Sled dogs were important for transportation in arctic areas, hauling supplies in areas that were inaccessible by other methods.","Sled dogs, including Huskies, are used for transportation in arctic areas.","Yes, they are used in sled dog racing. They are an ever-changing cross-breed of the fastest dogs."
12,Forgetting,Yea Forgetting and memory loss is one of lifes most painful things,It is a spontaneous or gradual process in which old memories are unable to be recalled from memory storage.,Its a gradual process where one is unable to call up the older memories,It is a spontaneous or gradual process in which old memories are unable to be recalled from memory storage.
13,Budweiser,"Yeah? From my understanding they are called ""Bud"" over in Europe because they have been in a trademark dispute with another beer company. ","In the European Union, excluding the United Kingdom, Republic of Ireland, Sweden, Finland and Spain, the American beer is marketed as ""Bud"", as the Budweiser trademark name is owned solely by the Czech beer maker, Budweiser Budvar.","Yes, that's true because the trademark name of Budweiser is own by the Czech beer maker, Budweiser Budvar","Yes, it was introduced in 1876 by Carl Conrad & Co. of St Louis, Missouri, and it has grown to become one of the largest selling beers in the US"
14,Coors Light,"Nice, what drinks do they produce?",It was first produced in 1978 by the Coors Brewing Company.,"I would say one of there most popular items is ""Coors Light"" which was first produced in 1978, so after 105 years of being founded. But they sell all kinds of beer.","Coors operates a brewery in Golden, Colorado, that is the largest single brewery facility in the world"
15,Parmigiana,What is your favorite Italian dish?,"Other variations found outside Italy may include chicken, veal, or another type of meat cutlet or vegetable filling.",I really enjoy chicken Parmigiana.  What about you?,I love lasagna.  It's simple with only two to four main ingredients.  I love how Italian cooks rely chiefly on the quality of the ingredients rather than elaborate preparation.
16,Blue Skies (1946 film),Oh that sounds really nice. I bet there was a lot of scenery and blue skies.,"Blue Skies is a 1946 American musical comedy film directed by Stuart Heisler and starring Bing Crosby, Fred Astaire, and Joan Caulfield.","Yes, speaking of Blue Skies, have you seen the 1946 movie staring Bing Crosby?","Yes, the sky was blue because of an optical effect known as Rayleigh scattering. It's pretty cool."
17,Photography," Muybridge sequence of a horse galloping In the 1830s, moving images were produced on revolving drums and disks","Photography is the science, art, application and practice of creating durable images by recording light or other electromagnetic radiation, either electronically by means of an image sensor, or chemically by means of a light-sensitive material such as photographic film.","Cinematography is also a type of photography which is the science, art, application and practice of creating durable images by recording light or other electromagnetic radiation, either electronically by means of an image sensor.","In 1845, Francis Ronalds invented the first successful camera able to make continuous recordings of the varying indications of meteorological and geomagnetic instruments over time."
18,Genius,Is that a trait that you can tell someone has early on in their life?,"There is no scientifically precise definition of genius, and the question of whether the notion itself has any real meaning has long been a subject of debate, although psychologists are converging on a definition that emphasizes creativity and eminent achievement.",there is no scientifically precise definition of genius,"yes, it is a trait that can be picked up early on in one's life.  "
19,Husky,That is so cool and probably helpful but mine is just a pet ,"Huskies are also today kept as pets, and groups work to find new pet homes for retired racing and adventure trekking dogs.",That's not uncommon! There are rescue groups that specialize in finding homes for retired sled dogs.,That's cool! Huskies were the first breed to be bred to pull sleds. They were first bred in the 1800s.
20,Forgetting,yep they just fade away and it can really get to you after a while,"Problems with remembering, learning and retaining new information are a few of the most common complaints of older adults.",Memory problems are one of the most common complaints of older adults,"Memory performance is usually related to the active functioning of three stages. These three stages are encoding, storage and retrieval"
21,Budweiser,Ah I thought so. I'm not a big fan of theirs because I feel like the beer is really weak and watered down.,"Budweiser () is an American-style pale lager produced by Anheuser-Busch, currently part of the transnational corporation Anheuser-Busch InBev.","Compared to Canadian beer, I guess it is!  It is a pale lager though, and is produced by Anheuser-Busch","Yes, I agree.  It is made with up to 30% rice in addition to hops and barley malt"
