,topic,last_sentence,checked_sentence,eval_label,generated_sentence
0,Elvis Presley,Elvis Presley,"Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".",Oh baby.... Elvis Presley is truly The King of Rock and Roll!,"Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer and actor."
1,Ireland,"Ireland
What do you know about ireland?",Ireland (; ; Ulster-Scots: ) is an island in the North Atlantic.,Are you referring to the island in the North Atlantic? It has a population of 6.6 million people. Why do you ask?,Ireland is a sovereign state in the north east of the European Union. It is also known as the Republic of Ireland.
2,Archery,"Archery
I recently took up archery and I think I love it. Do you know anything about Archery?","Archery is the sport, practice or skill of using a bow to propel arrows.",Archery is a sport/skill of using a bow to propel arrows.,"Archery is the art, sport, practice or skill of using a bow to shoot arrows. "
3,Chihuahua (dog),"Chihuahua (dog)
I love chihuahuas, I have 2 of them.",The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico.,Wow chihuahua are something else. Tiny and the smallest breed of dog.,The Chihuahua is the smallest breed of dog and is named after the state of Chihuahuua in Mexico.
4,Motivation,Motivation,"Motivation is the reason for people's actions, desires, and needs.","What is your motivation for your actions related to education, work, etc.?","Motivation is the reason for people's actions, willingness and goals.  Do you have any?"
5,Hunting,Hunting,"Hunting is the practice of killing or trapping animals, or pursuing or tracking them with the intent of doing so.",I enjoy going out in the woods to hunt animals.,I love to go hunting. It's a great way to get some fresh air and exercise. Do you like to hunt?
6,The Walking Dead (TV series),The Walking Dead (TV series),"The Walking Dead is an American post-apocalyptic horror television series developed by Frank Darabont for AMC that is based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard.",The Walking Dead is a kewl post apocalyptic horror tv show.,Have you ever seen the Walking Dead? It's my favorite show. It's based on the comic book series by Robert Kirkman.
7,Harry Potter,Harry Potter,Harry Potter is a series of fantasy novels written by British author J. K. Rowling.,"Harry Potter is a series of fantasy novels, do you know of them?",Harry Potter is a series of fantasy novels written by British author J.K. Rowling. Have you read them?
8,no_passages_used,yes...who doesn't love Elvis Presley and his music?,no_passages_used,Seriously. I have been planning a vaction to Graceland myself. I have family in Tennessee so it could be good.,"Yes, Elvis Presley is one of the most celebrated and influential musicians of the 20th century."
9,Ireland,"Exactly, do you know any thing about Island north Atlantic?","The island's geography comprises relatively low-lying mountains surrounding a central plain, with several navigable rivers extending inland.",There are lots of low-lying mountains in Ireland. Do you fancy a hike?,"I know that it is separated from Great Britain by the North Channel, the Irish Sea, and St George's Channel."
